query,label
What is the time complexity of a binary search tree?,CONCEPTUAL
Where is the link to the Python IDE in this portal?,NAVIGATIONAL
How do I implement a linked list in C++?,PROCEDURAL
Can you explain the mathematical proof behind the P vs NP problem?,ADVANCED
I dont get how recursion works.,CONCEPTUAL
Wheres the syllabus for the Data Structures course?,NAVIGATIONAL
I'm stuck on how to write a for loop in Java.,PROCEDURAL
Optimize my code for a neural network using custom CUDA kernels.,ADVANCED
What does 'pass-by-value' mean in simple terms?,CONCEPTUAL
How do I log out of my student account?,NAVIGATIONAL
Step by step guide to setup a virtual environment.,PROCEDURAL
What are the architectural differences between RISC and CISC?,ADVANCED
Explain the difference between a stack and a queue.,CONCEPTUAL
Is there a section for past exam papers?,NAVIGATIONAL
Help me fix this segmentation fault in my code.,PROCEDURAL
How do I implement a transformer model from scratch without PyTorch?,ADVANCED
Why is big O notation important?,CONCEPTUAL
Wher can I find my profile settings?,NAVIGATIONAL
Give me the code to reverse a string in Python.,PROCEDURAL
Compare the security vulnerabilities of RSA vs Elliptic Curve Cryptography.,ADVANCED
What is an abstract class?,CONCEPTUAL
How do I reset my password?,NAVIGATIONAL
I need to know how to install the GCC compiler.,PROCEDURAL
Explain the Byzantine Generals Problem in distributed systems.,ADVANCED
Difference between SQL and NoSQL databases.,CONCEPTUAL
Where is the FAQ page?,NAVIGATIONAL
Walk me through connecting to a MongoDB database.,PROCEDURAL
Provide a deep dive into the Linux kernel scheduling algorithm.,ADVANCED
What is the purpose of a pointer?,CONCEPTUAL
Link to the discord server?,NAVIGATIONAL
How to deploy a React app to Vercel?,PROCEDURAL
Analyze the efficiency of the Dykstra algorithm for shortest paths.,ADVANCED
Explain the concept of encapsulation.,CONCEPTUAL
Where can I see my grades?,NAVIGATIONAL
How do I use the map function in JavaScript?,PROCEDURAL
What are the implications of quantum computing on modern encryption?,ADVANCED
What is a hash collision?,CONCEPTUAL
How do I contact support?,NAVIGATIONAL
Show me how to create a simple API with Flask.,PROCEDURAL
Can you derive the backpropagation algorithm for me?,ADVANCED
Definition of a deadlock in OS.,CONCEPTUAL
How to access the premium tutorials?,NAVIGATIONAL
I need help setting up a Docker container for Postgres.,PROCEDURAL
Discuss the nuances of multi-threading in high-frequency trading systems.,ADVANCED
What are the components of a CPU?,CONCEPTUAL
Where is the search bar?,NAVIGATIONAL
How do I sort a list in Python?,PROCEDURAL
Explain the math behind the Fourier Transform in signal processing.,ADVANCED
What is polymorphism?,CONCEPTUAL
Where can I download the course materials?,NAVIGATIONAL
How do I filter an array in Ruby?,PROCEDURAL
Explain the CAP theorem in the context of distributed databases.,ADVANCED
What is the difference between a process and a thread?,CONCEPTUAL
Where is the 'Help' button?,NAVIGATIONAL
I'm struggling with the syntax for a switch statement.,PROCEDURAL
How do you optimize a compiler for speculative execution?,ADVANCED
What is the heap vs the stack?,CONCEPTUAL
How do I change my email address?,NAVIGATIONAL
Can you show me how to read a file in Java?,PROCEDURAL
Describe the architecture of a decentralized autonomous organization.,ADVANCED
What does 'idempotent' mean in REST APIs?,CONCEPTUAL
Where are the community forums?,NAVIGATIONAL
How do I create a branch in Git?,PROCEDURAL
What is the mathematical foundation of the RSA algorithm?,ADVANCED
Explain the concept of 'lazy loading'.,CONCEPTUAL
How do I renew my subscription?,NAVIGATIONAL
Show me how to use the 'reduce' method in JS.,PROCEDURAL
How do you implement a lock-free data structure?,ADVANCED
What is a primary key in a database?,CONCEPTUAL
Where is the link to the live lecture?,NAVIGATIONAL
How to write a unit test in Pytest?,PROCEDURAL
Explain the difference between L1, L2, and L3 cache.,ADVANCED
What is the purpose of the 'self' keyword in Python?,CONCEPTUAL
How do I find my enrollment key?,NAVIGATIONAL
Show me how to create a basic HTML form.,PROCEDURAL
How do you perform 3D matrix rotations without a library?,ADVANCED
What is an interface in Java?,CONCEPTUAL
Where can I find the assignment deadlines?,NAVIGATIONAL
I need to know how to use CSS Grid.,PROCEDURAL
Explain the core principles of Zero-Knowledge Proofs.,ADVANCED
What is the difference between TCP and UDP?,CONCEPTUAL
How do I delete my account?,NAVIGATIONAL
Help me write a script to scrape a website.,PROCEDURAL
How do you implement a Red-Black Tree from scratch?,ADVANCED
What is a closure in JavaScript?,CONCEPTUAL
Where is the 'Settings' menu?,NAVIGATIONAL
How to connect a Python script to an SQL database?,PROCEDURAL
Discuss the trade-offs between different consensus algorithms in blockchain.,ADVANCED
What is an IP address?,CONCEPTUAL
How do I upgrade my plan?,NAVIGATIONAL
Show me how to use 'async/await' in Node.js.,PROCEDURAL
Explain the concept of 'Sharding' in database management.,ADVANCED
What is a microservice architecture?,CONCEPTUAL
Where is the 'About Us' page?,NAVIGATIONAL
I need help with a regular expression for email validation.,PROCEDURAL
Analyze the security of the SHA-256 hashing algorithm.,ADVANCED
What is a kernel in an OS?,CONCEPTUAL
How do I find the course syllabus?,NAVIGATIONAL
How to implement a binary search algorithm?,PROCEDURAL
Explain the theory behind Generative Adversarial Networks (GANs).,ADVANCED
What is the difference between '==' and '===' in JS?,CONCEPTUAL
Where can I view my certificate?,NAVIGATIONAL
How do I use a try-catch block in C#?,PROCEDURAL
What is the complexity of the Edmonds-Karp algorithm?,ADVANCED
What is a foreign key?,CONCEPTUAL
How do I change my password?,NAVIGATIONAL
How to add a background image in CSS?,PROCEDURAL
Explain the principles of Solid state drives vs Hard disk drives.,ADVANCED
What is the difference between a compiler and an interpreter?,CONCEPTUAL
Where is the feedback form?,NAVIGATIONAL
How do I merge two branches in Git?,PROCEDURAL
Discuss the impact of the von Neumann bottleneck on performance.,ADVANCED
What is the DOM?,CONCEPTUAL
How do I log in with Google?,NAVIGATIONAL
Show me how to make a POST request in JavaScript.,PROCEDURAL
Explain the concept of 'Homomorphic Encryption'.,ADVANCED
What is a web server?,CONCEPTUAL
Where can I find the grading rubric?,NAVIGATIONAL
I need to know how to use 'flexbox'.,PROCEDURAL
Explain the math behind Support Vector Machines.,ADVANCED
What is the difference between a GET and POST request?,CONCEPTUAL
How do I contact my instructor?,NAVIGATIONAL
How to create a simple 'Hello World' app in Android?,PROCEDURAL
Discuss the evolution of garbage collection algorithms.,ADVANCED
What is a cloud computing service?,CONCEPTUAL
Where is the 'Notifications' tab?,NAVIGATIONAL
Show me how to handle form data in PHP.,PROCEDURAL
Explain the architecture of a modern GPU.,ADVANCED
What is a 'variable scope'?,CONCEPTUAL
How do I access the library resources?,NAVIGATIONAL
How to use the 'grep' command in Linux?,PROCEDURAL
Analyze the efficiency of different sorting algorithms.,ADVANCED
What is an 'object-oriented' language?,CONCEPTUAL
Where is the 'Logout' button?,NAVIGATIONAL
How do I set up a local server with XAMPP?,PROCEDURAL
Explain the concept of 'Dynamic Programming'.,ADVANCED
What is a 'syntax error'?,CONCEPTUAL
Where is the 'Resources' folder?,NAVIGATIONAL
How to use 'pip' to install packages?,PROCEDURAL
Describe the inner workings of a distributed file system.,ADVANCED
What is 'machine learning'?,CONCEPTUAL
